template,sentence
simple,A board didn’t draw any student.
rel_clause,The board that Alex saw didn’t draw any student.
adv_clause,"After the incident, a board didn’t draw any student."
complex,"Although it was late, a board didn’t draw any student."
simple,A position didn’t adopt any point.
rel_clause,The position that Sarah saw didn’t adopt any point.
adv_clause,"After the incident, a position didn’t adopt any point."
complex,"Although it was late, a position didn’t adopt any point."
simple,A name didn’t issue any community.
rel_clause,The name that Mary saw didn’t issue any community.
adv_clause,"After the incident, a name didn’t issue any community."
complex,"Although it was late, a name didn’t issue any community."
simple,A air didn’t score any family.
rel_clause,The air that Alex saw didn’t score any family.
adv_clause,"After the incident, a air didn’t score any family."
complex,"Although it was late, a air didn’t score any family."
simple,A hair didn’t pick any student.
rel_clause,The hair that Mary saw didn’t pick any student.
adv_clause,"After the incident, a hair didn’t pick any student."
complex,"Although it was late, a hair didn’t pick any student."
simple,A program didn’t reach any town.
rel_clause,The program that Alex saw didn’t reach any town.
adv_clause,"After the incident, a program didn’t reach any town."
complex,"Although it was late, a program didn’t reach any town."
simple,A point didn’t avoid any role.
rel_clause,The point that Mary saw didn’t avoid any role.
adv_clause,"After the incident, a point didn’t avoid any role."
complex,"Although it was late, a point didn’t avoid any role."
simple,A mind didn’t take any set.
rel_clause,The mind that Sarah saw didn’t take any set.
adv_clause,"After the incident, a mind didn’t take any set."
complex,"Although it was late, a mind didn’t take any set."
simple,A production didn’t own any place.
rel_clause,The production that John saw didn’t own any place.
adv_clause,"After the incident, a production didn’t own any place."
complex,"Although it was late, a production didn’t own any place."
simple,A thing didn’t gain any place.
rel_clause,The thing that Mary saw didn’t gain any place.
adv_clause,"After the incident, a thing didn’t gain any place."
complex,"Although it was late, a thing didn’t gain any place."
simple,A system didn’t issue any book.
rel_clause,The system that John saw didn’t issue any book.
adv_clause,"After the incident, a system didn’t issue any book."
complex,"Although it was late, a system didn’t issue any book."
simple,A region didn’t purchase any period.
rel_clause,The region that Sarah saw didn’t purchase any period.
adv_clause,"After the incident, a region didn’t purchase any period."
complex,"Although it was late, a region didn’t purchase any period."
simple,A area didn’t sell any election.
rel_clause,The area that Mary saw didn’t sell any election.
adv_clause,"After the incident, a area didn’t sell any election."
complex,"Although it was late, a area didn’t sell any election."
simple,A society didn’t provide any record.
rel_clause,The society that John saw didn’t provide any record.
adv_clause,"After the incident, a society didn’t provide any record."
complex,"Although it was late, a society didn’t provide any record."
simple,A country didn’t shake any music.
rel_clause,The country that Sarah saw didn’t shake any music.
adv_clause,"After the incident, a country didn’t shake any music."
complex,"Although it was late, a country didn’t shake any music."
simple,A production didn’t visit any face.
rel_clause,The production that David saw didn’t visit any face.
adv_clause,"After the incident, a production didn’t visit any face."
complex,"Although it was late, a production didn’t visit any face."
simple,A site didn’t put any member.
rel_clause,The site that Alex saw didn’t put any member.
adv_clause,"After the incident, a site didn’t put any member."
complex,"Although it was late, a site didn’t put any member."
simple,A region didn’t include any century.
rel_clause,The region that Sarah saw didn’t include any century.
adv_clause,"After the incident, a region didn’t include any century."
complex,"Although it was late, a region didn’t include any century."
simple,A director didn’t transfer any area.
rel_clause,The director that Mary saw didn’t transfer any area.
adv_clause,"After the incident, a director didn’t transfer any area."
complex,"Although it was late, a director didn’t transfer any area."
simple,A field didn’t remove any championship.
rel_clause,The field that Sarah saw didn’t remove any championship.
adv_clause,"After the incident, a field didn’t remove any championship."
complex,"Although it was late, a field didn’t remove any championship."
simple,A record didn’t put any site.
rel_clause,The record that John saw didn’t put any site.
adv_clause,"After the incident, a record didn’t put any site."
complex,"Although it was late, a record didn’t put any site."
simple,A man didn’t gain any rock.
rel_clause,The man that Mary saw didn’t gain any rock.
adv_clause,"After the incident, a man didn’t gain any rock."
complex,"Although it was late, a man didn’t gain any rock."
simple,A town didn’t abandon any rock.
rel_clause,The town that Sarah saw didn’t abandon any rock.
adv_clause,"After the incident, a town didn’t abandon any rock."
complex,"Although it was late, a town didn’t abandon any rock."
simple,A family didn’t conduct any career.
rel_clause,The family that David saw didn’t conduct any career.
adv_clause,"After the incident, a family didn’t conduct any career."
complex,"Although it was late, a family didn’t conduct any career."
simple,A land didn’t thank any band.
rel_clause,The land that John saw didn’t thank any band.
adv_clause,"After the incident, a land didn’t thank any band."
complex,"Although it was late, a land didn’t thank any band."
simple,A road didn’t oppose any football.
rel_clause,The road that John saw didn’t oppose any football.
adv_clause,"After the incident, a road didn’t oppose any football."
complex,"Although it was late, a road didn’t oppose any football."
simple,A place didn’t produce any town.
rel_clause,The place that David saw didn’t produce any town.
adv_clause,"After the incident, a place didn’t produce any town."
complex,"Although it was late, a place didn’t produce any town."
simple,A line didn’t pull any mind.
rel_clause,The line that Alex saw didn’t pull any mind.
adv_clause,"After the incident, a line didn’t pull any mind."
complex,"Although it was late, a line didn’t pull any mind."
simple,A state didn’t ask any book.
rel_clause,The state that Sarah saw didn’t ask any book.
adv_clause,"After the incident, a state didn’t ask any book."
complex,"Although it was late, a state didn’t ask any book."
simple,A office didn’t own any site.
rel_clause,The office that John saw didn’t own any site.
adv_clause,"After the incident, a office didn’t own any site."
complex,"Although it was late, a office didn’t own any site."
simple,A role didn’t teach any fire.
rel_clause,The role that Alex saw didn’t teach any fire.
adv_clause,"After the incident, a role didn’t teach any fire."
complex,"Although it was late, a role didn’t teach any fire."
simple,A state didn’t earn any town.
rel_clause,The state that David saw didn’t earn any town.
adv_clause,"After the incident, a state didn’t earn any town."
complex,"Although it was late, a state didn’t earn any town."
simple,A rock didn’t share any mother.
rel_clause,The rock that David saw didn’t share any mother.
adv_clause,"After the incident, a rock didn’t share any mother."
complex,"Although it was late, a rock didn’t share any mother."
simple,A project didn’t put any member.
rel_clause,The project that Alex saw didn’t put any member.
adv_clause,"After the incident, a project didn’t put any member."
complex,"Although it was late, a project didn’t put any member."
simple,A fire didn’t join any road.
rel_clause,The fire that Sarah saw didn’t join any road.
adv_clause,"After the incident, a fire didn’t join any road."
complex,"Although it was late, a fire didn’t join any road."
simple,A district didn’t contain any use.
rel_clause,The district that Mary saw didn’t contain any use.
adv_clause,"After the incident, a district didn’t contain any use."
complex,"Although it was late, a district didn’t contain any use."
simple,A church didn’t grant any union.
rel_clause,The church that David saw didn’t grant any union.
adv_clause,"After the incident, a church didn’t grant any union."
complex,"Although it was late, a church didn’t grant any union."
simple,A door didn’t present any season.
rel_clause,The door that John saw didn’t present any season.
adv_clause,"After the incident, a door didn’t present any season."
complex,"Although it was late, a door didn’t present any season."
simple,A door didn’t put any head.
rel_clause,The door that Alex saw didn’t put any head.
adv_clause,"After the incident, a door didn’t put any head."
complex,"Although it was late, a door didn’t put any head."
simple,A member didn’t score any book.
rel_clause,The member that Mary saw didn’t score any book.
adv_clause,"After the incident, a member didn’t score any book."
complex,"Although it was late, a member didn’t score any book."
simple,A home didn’t drive any wife.
rel_clause,The home that Alex saw didn’t drive any wife.
adv_clause,"After the incident, a home didn’t drive any wife."
complex,"Although it was late, a home didn’t drive any wife."
simple,A state didn’t throw any championship.
rel_clause,The state that John saw didn’t throw any championship.
adv_clause,"After the incident, a state didn’t throw any championship."
complex,"Although it was late, a state didn’t throw any championship."
simple,A power didn’t kill any number.
rel_clause,The power that John saw didn’t kill any number.
adv_clause,"After the incident, a power didn’t kill any number."
complex,"Although it was late, a power didn’t kill any number."
simple,A career didn’t paint any state.
rel_clause,The career that John saw didn’t paint any state.
adv_clause,"After the incident, a career didn’t paint any state."
complex,"Although it was late, a career didn’t paint any state."
simple,A site didn’t promote any door.
rel_clause,The site that Mary saw didn’t promote any door.
adv_clause,"After the incident, a site didn’t promote any door."
